,sentence,label
4198,"Then a desire to make measurements that were worthwhile, and would make a difference",1
6200,They will also need to show that their customers are reliable payers.,1
7746,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",0
7247,Kallis wont bat in 2nd innings.,0
867,"My primary focus is helping startup CEOs to build great companies and improve society – in education, healthcare and other industries needing to be reinvented",1
811,All these areas can be relatively easily overcome in the early stages of a company,1
10244,"Its ok, if anybody asks abt me, u tel them..:-P",0
3112,How are you coping with lockdown? What is your strategy?,1
3841,What I am seeing on the ground is more demand for startups considering the full impact or end to end life cycle of a product or service,1
3121,We are using our social platform to share positive and motivational news to help spread a feeling of community,1
7021,IÛ÷m going to try for 2 months ha ha only joking,0
3807,"2) Healthtech very topical, even before Covid-19, with more people living longer & taking personal responsibility to manage their health to live quality lifestyles",1
9443,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here,0
492,How did the idea for the business come about?,1
11299,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",0
2114,"I created the MVP as if though it were a fledgling business, with 9 recipes, 2 chefs, all the packaging and pre portioned ingredients from suppliers, which I could have easily pre portioned myself and less recipes and 1 chef.",1
10576,Yeah confirmed for you staying at  that weekend,0
8199,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,0
11285,Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,0
1171,Have you been engaged in a fundraise during this time?,1
10962,If you ask her or she say any please message.,0
4344,How Do You Assess Where You Are On This Shift?,1
9115,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;,0
12150,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",0
3820,We also saw terms like Greentech rocket up the rankings for investors looking to invest,1
1939,Yet it falls down when considering the huge gender imbalance in the startups winning investment,1
11618,"Sorry, I'll call later In meeting.",0
7610,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,0
6133,Your options are based on the credit history of the business (including the business owners’) and whether you have any assets that you can offer as security,1
7557,I know that my friend already told that.,0
4591,£12.99 per years for borrowers and £44.99 per year for owners and all the members are verified and covered by insurance,1
3656,"From innovations in finance, technology bringing people together during social distancing to the wonders of medicine and science",1
4628,"For example with angel groups, they don’t necessarily meet that often",1
10942,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,0
4845,"Global markets are also reflecting this, with ESG funds consistently outperforming traditional ones since COVID emerged.",1
4142,"As a founder, this not only gives you much needed cash, but also time to grow the valuation to a point where you and your investors are both happy.",1
10058,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details",0
8623,"Ah, well that confuses things, doesnÛ÷t it?",0
11080,Hurry home. Soup is DONE!,0
4547,Do you see members with the entrepreneur community?,1
3866,The long amount of time it took to draw a coffeepot full of water from a standard water dispenser to make coffee every morning became more frustrating until it was intolerable.,1
2619,Payment processors like Stripe or Braintree are one the best examples for a product that takes payments but isn’t part of the core offering,1
9946,Leave it. U will always be ignorant.,0
5816,"In the early discussions I should have focused on getting to know them, their vision and their processes; instead, I was too blinkered on the valuation and deal terms",1
3105,"It’s not a fad, it’s here to stay because we have to make fundamental changes in the way we live and consume if we are going to secure a future for our planet and the next generations.",1
5990,"That’s not just for the sake of diversity, which is important, but because we are missing out on so many potentially incredible businesses.",1
6258,THE STARTUP MICRODOSE PODCAST,1
9696,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...,0
2055,He explained how he arrived in China with ‘two bags and nothing else’,1
674,"Despite the challenging conditions it has seen impressive revenues year on year, despite longer funding rounds in today’s climate",1
6230,Allied For Startups conclude their report by stating that a fairer and more stable regulatory environment is needed to ensure the tech sector continues to flourish.,1
9079,I can take you at like noon,0
2147,  Entertainment & Leisure,1
4535,What’s a portfolio career? And what is the Portfolio Collective?,1
1966,"Tell them in no uncertain terms the amount you require, what you will do with it and of course, the share they can expect",1
10412,Where do you need to go to get it?,0
1914,"The group of startups is growing, the talent pool isn’t keeping up",1
4419,"SeedLegals automates the legals to help companies close funding rounds faster, and hire, manage and allocate equity to their team.",1
6963,"Polly comes from the competitive world of consulting and finance, with a Cambridge PhD in Molecular Biology and an MBA at London Business School",1
60,What does your company do?,1
9749,You said not now. No problem. When you can. Let me know.,0
4482,"This raise is a vital stepping stone to unlock our growth into Nigeria as well as explore new markets across Africa, Middle East and Asia",1
12002,CDs 4u: Congratulations ur awarded å£500 of CD gift vouchers or å£125 gift guaranteed & Freeentry 2 å£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,0
7107,How would my ip address test that considering my computer isn't a minecraft server,0
9265,I cant pick the phone right now. Pls send a message,0
3211,"We work as a globally dispersed team in normal times, so operations have not been disrupted",1
10012,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,0
8753,Jus came back fr lunch wif my sis only. U leh?,0
1897,We knew we were onto something when? ,1
6128,________________________________________,1
8582,"Yep, at derek's house now, see you Sunday &lt;3",0
4921,How has this been impacted and are you adjusting your plans?,1
739,Ask any founder who has been asked over and over again to create and then endlessly tweak a 3 year spreadsheet of projections and you will be met with the frustrations and self-evident limitations of this methodology and approach in the pre-seed space.,1
8988,"Sorry, I'll call later",0
12216,I am late. I will be there at,0
9815,Genius what's up. How your brother. Pls send his number to my skype.,0
2972,"According to Jordan Gross, Sing King CEO: “Music has the power to transform lives and the beauty of karaoke is that it transcends age, language and culture",1
8169,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,0
12238,Yeah I can still give you a ride,0
1187,"We are all geared towards facing any problem that comes our way with positivity and determination, and to make something good out of a bad situation",1
6174,A strong working relationship is essential between an angel investor and the business owner they invest in.,1
7378,Keep my payasam there if rinu brings,0
174,But how much do they actually help us change? ,1
12180,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",0
1852,"This might seem anathematic for those involved in a fundraise, but this was the loud and clear message from Saalim Chowdhury, former partner at 500 Startups and an angel investor",1
2827,#SixtySecondStartUp with Pharma Sentinel,1
8205,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,0
9851,how tall are you princess?,0
10260,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...,0
4870,Just be sure to confirm that everyone knows why you’re monitoring certain things (e.g,1
977,I’m going to be cheeky here and give a few:,1
937,This means do your due diligence on interested parties,1
4435,"This is great news for founders, particularly this year as a result of the pandemic",1
6955,"She was recognised in the British Bangladeshi Top 100, a celebration of 100 leading British Bangladeshi figures who are helping to shape a better Britain with their ideas, example and talent, and received an Honourable Mention as a Finalist in the Rising Star category at The Caterer Shine Awards 2017.",1
11820,Im good! I have been thinking about you...,0
3131,"As we operate in ecommerce and online shopping, we’ve seen a significant fall in usage and sales through our platform",1
8486,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea",0
9449,Then she dun believe wat?,0
11637,Captain vijaykanth is doing comedy in captain tv..he is drunken :),0
1211,Startups may be small companies but they can play a significant role in economic growth,1
7768,I cant pick the phone right now. Pls send a message,0
9957,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,0
7793,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,0
1060,"In order to do so, a minimum amount of capitalisation is required, which in our case was £6m in equity capital",1
3961,What would you say to others who have faced redundancy during this difficult time?,1
10802,Yup song bro. No creative. Neva test quality. He said check review online.,0
6095,An angel investor will also act as a mentor and can have significant input into helping you start up and grow a business,1
222,Don’t rest until you do,1
10265,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,0
5730,"Back in 2013, I took a step that would change the trajectory of my career forever",1
10635,"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\""""",0
2718,"This ‘define your value’ work takes up a third of our Catapult (four week launch) course, as it is such an important and tricky subject.",1
9321,Ok...,0
5031,"It’s not a fad, it’s here to stay because we have to make fundamental changes in the way we live and consume if we are going to secure a future for our planet and the next generations.",1
4269,Are there any common themes for the companies attending? ,1
